sub	block	condition	racehorse_check	n_stop_trials	n_go_trials	go_rt	n_go_cor	go_cor_rt	n_go_error	go_error_rt	n_go_miss	stop_prob_resp	us_rt	ssd	ssrt_mean	ssrt_int
1	1	lED_lPort	1	16	48	868.104	46	872.652	2	763.5	0	0.312	702.6	435.5	432.604	310.062
1	2	lED_sPort	1	16	48	845.304	46	845.304	0		2	0.375	635.167	406.25	439.054	407.25
1	3	hED_sPort	1	16	48	792.191	46	789.674	1	908.0	1	0.5	505.625	433.312	358.879	346.688
1	4	hED_lPort	1	16	48	788.417	46	802.022	2	475.5	0	0.375	573.5	312.375	476.042	347.375
4	1	hED_lPort	1	16	48	744.875	48	744.875	0		0	0.438	568.286	305.125	439.75	326.438
4	2	hED_sPort	1	16	48	788.708	47	783.681	1	1025.0	0	0.438	628.0	299.0	489.708	407.625
4	3	lED_lPort	1	16	48	788.957	46	793.826	1	565.0	1	0.375	614.333	370.938	418.02	320.312
4	4	lED_sPort	1	16	48	777.0	44	778.045	1	731.0	3	0.5	674.857	285.375	491.625	411.125
5	1	lED_lPort	1	16	48	654.875	43	659.465	5	615.4	0	0.562	523.333	289.688	365.188	338.0
5	2	hED_lPort	0	16	48	622.396	46	628.522	2	481.5	0	0.438	783.286	260.5		
5	3	hED_sPort	1	16	48	620.312	43	641.698	5	436.4	0	0.438	505.286	199.062	421.25	350.062
5	4	lED_sPort	1	16	48	659.104	47	660.319	1	602.0	0	0.5	531.0	217.812	441.292	407.688
6	1	lED_lPort	1	16	48	774.714	42	771.098	3	923.0	3	0.375	677.0	338.562	384.504	325.688
6	2	hED_lPort	0	16	48	732.538	37	738.135	2	629.0	9	0.5	768.0	284.312		
6	3	hED_sPort	0	16	48	610.229	48	610.229	0		0	0.5	677.25	261.312		
6	4	lED_sPort	0	16	48	591.889	45	587.841	1	770.0	2	0.5	597.5	243.812		
7	1	hED_lPort	1	16	48	770.511	44	764.455	1	1037.0	3	0.5	623.25	262.438	508.074	528.562
7	2	hED_sPort	1	16	48	899.111	43	902.628	2	823.5	3	0.5	893.875	318.75	580.361	573.75
11	1	lED_lPort	1	16	48	853.152	46	853.152	0		2	0.312	545.8	493.75	359.402	324.125
11	2	hED_lPort	1	16	48	771.062	47	785.043	1	114.0	0	0.312	432.2	281.25	489.812	415.562
11	3	hED_sPort	1	16	48	548.489	45	561.178	2	263.0	1	0.438	431.429	300.0	248.489	175.125
11	4	lED_sPort	1	16	48	431.958	48	431.958	0		0	0.625	407.7	150.0	281.958	305.5
17	1	lED_lPort	1	16	48	608.208	47	614.787	0		0	0.438	510.0	268.75	339.458	284.75
