global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	cosine00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	aroma_motion_01	aroma_motion_04	aroma_motion_05	aroma_motion_15	aroma_motion_18	aroma_motion_20	aroma_motion_22	aroma_motion_26
976.0336978	n/a	n/a	952641.7793	1158.345622	n/a	1341764.58	n/a	942.1529807	n/a	n/a	887652.239	952.6881698	875.0968913	n/a	n/a	n/a	n/a	-0.034672607	-0.160756548	0.186475444	-0.161610547	0.278806552	-0.220480864	-0.039447873	-0.057938363	0.049185058	-0.113179833	0.027151052	-0.009306788	0.011489373	-0.190473544	0.046429076	0.00188326	-0.039206815	-0.034273635	-0.062168016	0.067490642	-0.090272013	0.063527702	-0.001942918	0.08251667	-0.109890177	0.101435912	0.036038422	-0.01365554	0.140896339	0.158083405	0.0275554	n/a	0.0007593	n/a	-0.0947923	n/a	n/a	0.00898558	-0.0186906	n/a	n/a	0.000349339	0.00030615	n/a	n/a	9.37E-08	-0.000631255	n/a	n/a	3.98E-07	0.000644998	n/a	n/a	4.16E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.698677066	1.218862313	0.05428464	2.934770988	0.036757212	0.866328767	-0.390655108	0.261040563
969.9418081	-6.091889696	37.11112006	940787.1112	1169.607579	11.26195649	1367981.888	126.831664	939.3070599	-2.845920806	8.099265237	882297.7527	950.7017035	895.6346119	1.5	25.186762	0	0.181168	0.012228787	-0.218806188	0.300572758	-0.141354702	0.275029454	-0.065276345	-0.007137849	0.010431533	0.112050599	0.006226048	-0.046431241	0.034677297	0.135734532	-0.021170173	-0.122004783	-0.022320183	-0.101321757	-0.005247179	0.005511511	0.150126301	0.040323907	0.020080696	0.026327491	0.116738722	0.131963009	0.171671557	-0.02018807	-0.08405822	0.087927618	0.157839652	0.0503147	0.0227593	0.002531569	0.000517986	-0.0230866	0.0717057	0.005141707	0.000532991	0.0499967	0.0686873	0.004717945	0.00249967	-0.00213528	-0.00244143	5.96E-06	4.56E-06	0	0.000631255	3.98E-07	0	0.000755599	0.000110601	1.22E-08	5.71E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.426647548	0.316193515	1.016644243	2.476990701	0.311783051	1.0614636	-0.906656803	0.537006088
965.4178067	-4.524001456	20.46658918	932031.5415	1127.583093	-42.02448523	1271443.632	1766.057359	941.9019074	2.594847527	6.73323369	887179.2032	950.7900706	857.8002632	1.5	26.825212	0	0.120227	-0.015718402	-0.067270122	0.100715142	0.019175726	-0.167230282	-0.065843728	-0.054412945	-0.057531773	0.042970595	-0.059551004	-0.046946751	0.007755525	0.118803662	-0.129189296	-0.099322125	-0.038692803	-0.254274443	-0.051062202	-0.061682037	0.056831785	-0.002659448	0.081785332	0.018185874	0.136965006	-0.031015585	0.157900113	-0.010497134	-0.249896788	0.119376517	0.157352521	0.0511378	0.0008231	0.002615075	6.77E-07	-0.116461	-0.0933744	0.008718779	0.013563165	-0.0135429	-0.0635396	0.004037281	0.00018341	-0.00170985	0.00042543	1.81E-07	2.92E-06	-0.000277924	-0.000277924	7.72E-08	7.72E-08	0.000983268	0.000227669	5.18E-08	9.67E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.546853385	-0.238063404	0.207793804	0.305263807	-0.178039925	1.878778455	-1.231807137	1.437083883
965.0138409	-0.40396579	0.163188359	931251.7131	1150.334088	22.75099424	1323268.513	517.6077388	940.8448059	-1.057101505	1.117463591	885188.9488	950.4720678	859.7965951	1.5	26.082825	0	0.0966133	-0.045511659	-0.194457501	0.131748575	0.091660419	-0.148335611	0.085066627	-0.022409817	-0.067615897	0.084900255	-0.095922147	-0.142686215	-0.054686674	0.145799938	-0.155066332	-0.091376905	-0.055469819	-0.178185789	-0.018875285	-0.070882647	0.10376706	0.024632156	0.173177277	-0.044778003	0.185562479	-0.046797653	0.128454294	-0.035334693	-0.145650707	-0.188635201	0.156622765	0.0117211	-0.0394167	0.000137384	0.001553676	-0.0907556	0.0257054	0.000660768	0.008236579	-0.0587354	-0.0451925	0.002042362	0.003449847	-0.000649307	0.001060543	1.12E-06	4.22E-07	0.00031979	0.000597714	3.57E-07	1.02E-07	0.000772546	-0.000210722	4.44E-08	5.97E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.737046666	-0.558584107	-0.574282767	2.024068377	-0.466601537	1.061713935	0.479727317	1.289011677
964.8720388	-0.141802067	0.020107826	930978.0513	1134.270355	-16.06373295	1286569.237	258.0435164	937.1620693	-3.682736633	13.56254911	878272.7441	945.8499474	812.8847223	1.5	29.989182	0	0.228789	-0.102834307	-0.119058565	0.003787363	-0.021469343	-0.233402738	0.049776999	0.148616342	-0.04770165	-0.016128066	-0.09598718	-0.202456586	-0.119719562	-0.103151621	0.130226513	-0.172446495	-0.201448946	-0.057887157	0.148120503	-0.041665952	-0.007471408	0.09062451	0.212212686	-0.130014995	-0.113979459	0.066521085	0.056021785	-0.235316734	-0.09427281	-0.166516326	0.155651507	-0.0443123	-0.0560334	0.00196358	0.003139742	-0.125708	-0.0349524	0.00122167	0.015802501	-0.211541	-0.1528056	0.023349551	0.044749595	0.00135589	0.002005197	4.02E-06	1.84E-06	-0.00116802	-0.00148781	2.21E-06	1.36E-06	0.000750494	-2.21E-05	4.86E-10	5.63E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.942952922	0.73000113	-0.363656933	0.342947104	-0.428376239	1.542336388	2.380836286	1.153842416
964.3517343	-0.520304564	0.270716839	929974.2674	1111.843202	-22.42715236	1236195.306	502.977163	936.1147202	-1.047349071	1.096940077	876310.7694	944.6892545	806.5447482	1.5	27.01321	0	0.0623026	-0.104856422	0.052649907	-0.231030875	-0.073372991	0.029690345	-0.058423331	0.222727903	3.83E-05	0.000411336	-0.099509602	0.044898188	0.040811935	-0.044592073	0.279592384	0.00335146	0.227185136	0.012244605	0.221396301	0.010572062	-0.026904826	-0.087570043	0.03922448	0.025100415	-0.191976961	0.216549363	-0.097016727	0.191532926	-0.000155131	-0.03969624	0.154440246	0.000292896	0.044605196	8.58E-08	0.001989624	-0.0963847	0.0293233	0.000859856	0.00929001	-0.237602	-0.026061	0.000679176	0.05645471	0.00105516	-0.00030073	9.04E-08	1.11E-06	-0.00093264	0.00023538	5.54E-08	8.70E-07	0.00077117	2.07E-05	4.27E-10	5.95E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.964399231	-0.421824691	-0.807227226	-0.27612153	-0.084065246	-0.460417289	-0.839743865	-1.109310362
968.4482158	4.096481537	16.78116099	937891.9467	1127.226916	15.383714	1270640.521	236.6586566	940.8411487	4.726428542	22.33912677	885182.0671	949.4238556	822.619339	1.5	27.876028	0	0.11784	-0.07528852	0.027522138	-0.213562601	0.039765678	0.054441836	0.056718965	0.060885649	-0.096386472	-0.057943787	-0.021851797	0.206238596	-0.142503662	-0.089284134	0.053882958	-0.075790253	0.105363073	0.035066886	0.063592807	-0.090093276	-0.088213644	-0.172343157	-0.123517886	-0.138240441	-0.106206091	0.008860296	0.041623101	0.070340467	0.018112436	-0.188315927	0.15299085	-0.0170087	-0.017301596	0.000289296	0.000299345	-0.143334	-0.0469493	0.002204237	0.020544636	-0.148702	0.0889	0.00790321	0.022112285	0.000410914	-0.000644246	4.15E-07	1.69E-07	-0.00021325	0.00071939	5.18E-07	4.55E-08	0.000766192	-4.98E-06	2.48E-11	5.87E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.845544083	1.11826247	-0.525333307	-0.036881221	0.430689605	-2.073572155	0.807097941	-1.611876429
972.1330743	3.684858458	13.57818185	945042.7141	1123.182077	-4.044838943	1261537.979	16.36072208	937.6665242	-3.174624491	10.07824066	879218.5107	945.8236574	855.9125279	1.5	31.272913	0	0.179379	0.006476267	0.022968502	-0.086393967	0.143619165	0.107188909	-0.07960043	0.138752153	0.027735858	-0.041898752	-0.008245426	0.110768976	0.009889466	0.123593295	0.050613288	0.019080028	-0.002744404	0.233546937	0.139373404	0.036560954	-0.051198993	-0.095410771	-0.067806474	0.028528912	0.109799788	0.076024956	-0.095027374	-0.023878279	0.202742639	-0.140180151	0.151305552	-0.00903082	0.00797788	8.16E-05	6.36E-05	-0.0587436	0.0845904	0.007155536	0.003450811	0.0131699	0.1618719	0.026202512	0.000173446	0.000830992	0.000420078	1.76E-07	6.91E-07	-8.58E-05	0.000127401	1.62E-08	7.37E-09	0.000543916	-0.000222276	4.94E-08	2.96E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.63796729	0.034298461	-0.367341231	-0.092695175	-0.000910214	-0.415695036	1.080550831	0.38646118
973.7713405	1.638266227	2.68391623	948230.6236	1109.061641	-14.12043672	1230017.723	199.3867333	938.2515924	0.585068177	0.342304772	880316.0507	945.6635183	907.2814351	1.5	52.066711	0	0.684406	0.227707311	0.239542696	0.147321642	-0.059614773	-0.094274128	-0.078607645	-0.052767976	0.280411583	0.000217927	0.107896678	-0.06511067	-0.047659806	-0.096481767	-0.061613777	0.182418012	0.013861653	0.03670037	-0.063923872	0.275486321	0.011392491	0.125020673	-0.031029279	-0.04083878	-0.015830288	-0.171177799	-0.127276815	0.041990086	-0.002584978	0.037969415	0.149386953	0.0558499	0.06488072	0.003119211	0.004209508	0.170329	0.2290726	0.052474256	0.029011968	0.590932	0.5777621	0.333809044	0.349200629	-0.00231994	-0.003150932	9.93E-06	5.38E-06	-0.00102516	-0.000939311	8.82E-07	1.05E-06	0.000985761	0.000441845	1.95E-07	9.72E-07	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.161923929	-0.181777786	1.79358558	-1.875417732	-0.727564555	0.079290748	0.330230135	1.051135343
975.2679401	1.496599631	2.239810456	951147.555	1109.027836	-0.033804977	1229942.74	0.001142776	943.7898591	5.538266728	30.67239835	890739.2982	951.5957865	868.1887008	1.5	41.430672	0	0.585543	0.052882298	0.085624213	0.05225836	0.01543376	-0.062956551	-0.153323685	-0.1000353	-0.001362709	0.029292568	-0.091831466	0.069945295	0.054488401	-0.114370571	-0.138419526	0.054760833	-0.326887941	0.036412513	-0.097984475	-0.005882047	0.012424034	-0.107882698	0.023061237	0.081208624	-0.008820348	-0.218261462	-0.025409637	-0.310545511	0.003532241	0.082581983	0.147238009	0.0076547	-0.0481952	5.86E-05	0.002322777	-0.214071	-0.3844	0.14776336	0.045826393	0.19036	-0.400572	0.160457927	0.03623693	-0.000730482	0.001589458	2.53E-06	5.34E-07	-1.39E-05	0.001011296	1.02E-06	1.92E-10	8.70E-05	-0.000898732	8.08E-07	7.57E-09	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.220738354	0.171206344	0.522979025	-0.85564569	0.838970113	0.704668597	1.025502773	1.547483279
