sub	all_nGo	all_nNoGo	all_nAcc	all_pAcc	all_nGo_Hit	all_nGo_Miss	all_nNoGo_Corr	all_nNoGo_FA	all_pGo_Hit	all_pGo_Miss	all_pNoGo_Corr	all_pNoGo_FA	all_RTmeanGo_Hit	all_RTmeanNoGo_FA	all_RTmedGo_Hit	all_RTmedNoGo_FA	b1_nGo	b1_nNoGo	b1_nAcc	b1_pAcc	b1_nGo_Hit	b1_nGo_Miss	b1_nNoGo_Corr	b1_nNoGo_FA	b1_pGo_Hit	b1_pGo_Miss	b1_pNoGo_Corr	b1_pNoGo_FA	b1_RTmeanGo_Hit	b1_RTmeanNoGo_FA	b1_RTmedGo_Hit	b1_RTmedNoGo_FA	b2_nGo	b2_nNoGo	b2_nAcc	b2_pAcc	b2_nGo_Hit	b2_nGo_Miss	b2_nNoGo_Corr	b2_nNoGo_FA	b2_pGo_Hit	b2_pGo_Miss	b2_pNoGo_Corr	b2_pNoGo_FA	b2_RTmeanGo_Hit	b2_RTmeanNoGo_FA	b2_RTmedGo_Hit	b2_RTmedNoGo_FA	b3_nGo	b3_nNoGo	b3_nAcc	b3_pAcc	b3_nGo_Hit	b3_nGo_Miss	b3_nNoGo_Corr	b3_nNoGo_FA	b3_pGo_Hit	b3_pGo_Miss	b3_pNoGo_Corr	b3_pNoGo_FA	b3_RTmeanGo_Hit	b3_RTmeanNoGo_FA	b3_RTmedGo_Hit	b3_RTmedNoGo_FA	b4_nGo	b4_nNoGo	b4_nAcc	b4_pAcc	b4_nGo_Hit	b4_nGo_Miss	b4_nNoGo_Corr	b4_nNoGo_FA	b4_pGo_Hit	b4_pGo_Miss	b4_pNoGo_Corr	b4_pNoGo_FA	b4_RTmeanGo_Hit	b4_RTmeanNoGo_FA	b4_RTmedGo_Hit	b4_RTmedNoGo_FA	b5_nGo	b5_nNoGo	b5_nAcc	b5_pAcc	b5_nGo_Hit	b5_nGo_Miss	b5_nNoGo_Corr	b5_nNoGo_FA	b5_pGo_Hit	b5_pGo_Miss	b5_pNoGo_Corr	b5_pNoGo_FA	b5_RTmeanGo_Hit	b5_RTmeanNoGo_FA	b5_RTmedGo_Hit	b5_RTmedNoGo_FA
7	150	50	180	0.9	150	0	30	20	1.0	0.0	0.6	0.4	533.9066666666666	415.15	525.5	445.5	30	10	34	0.85	30	0	4	6	1.0	0.0	0.4	0.6	492.53333333333336	412.5	453.0	397.5	30	10	34	0.85	30	0	4	6	1.0	0.0	0.4	0.6	551.3	376.8333333333333	529.0	457.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	551.0333333333333	479.0	535.5	465.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	549.2	422.5	561.5	422.5	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	525.4666666666667	428.3333333333333	528.5	447.0
3	150	50	183	0.915	140	10	43	7	0.9333333333333332	0.0666666666666666	0.86	0.14	579.9714285714285	408.4285714285714	566.0	424.0	30	10	28	0.7	20	10	8	2	0.6666666666666666	0.3333333333333333	0.8	0.2	535.05	335.5	550.5	335.5	30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	590.7666666666667		576.0		30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	596.5333333333333		573.0		30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	588.1666666666666	551.0	566.0	551.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	574.3666666666667	409.25	564.5	456.0
4	150	50	171	0.855	143	7	28	22	0.9533333333333334	0.0466666666666666	0.56	0.44	557.3846153846154	416.45454545454544	523.0	460.5	30	10	35	0.875	28	2	7	3	0.9333333333333332	0.0666666666666666	0.7	0.3	557.2857142857143	377.0	533.5	469.0	30	10	35	0.875	29	1	6	4	0.9666666666666668	0.0333333333333333	0.6	0.4	554.8965517241379	487.5	529.0	490.0	30	10	34	0.85	29	1	5	5	0.9666666666666668	0.0333333333333333	0.5	0.5	563.1379310344828	430.8	526.0	427.0	30	10	33	0.825	28	2	5	5	0.9333333333333332	0.0666666666666666	0.5	0.5	552.25	324.4	530.0	406.0	30	10	34	0.85	29	1	5	5	0.9666666666666668	0.0333333333333333	0.5	0.5	559.1724137931035	461.0	501.0	461.0
5	150	50	187	0.935	150	0	37	13	1.0	0.0	0.74	0.26	560.7133333333334	362.6923076923077	542.5	368.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	555.3	210.5	541.0	210.5	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	556.6	285.6666666666667	534.5	310.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	529.9666666666667	431.3333333333333	525.0	458.0	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	623.0666666666667	441.0	630.5	441.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	538.6333333333333	425.5	554.5	405.5
1	150	50	180	0.9	148	2	32	18	0.9866666666666668	0.0133333333333333	0.64	0.36	493.7567567567568	382.0	491.0	355.5	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	502.26666666666665	299.0	495.0	299.0	30	10	34	0.85	29	1	5	5	0.9666666666666668	0.0333333333333333	0.5	0.5	480.44827586206895	372.2	471.0	300.0	30	10	36	0.9	29	1	7	3	0.9666666666666668	0.0333333333333333	0.7	0.3	486.3448275862069	445.3333333333333	486.0	407.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	526.3	372.75	516.0	355.5	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	472.73333333333335	397.5	473.0	382.0
2	150	50	189	0.945	149	1	40	10	0.9933333333333332	0.0066666666666666	0.8	0.2	565.1409395973154	415.8	557.0	408.5	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	569.7333333333333	439.3333333333333	550.5	451.0	30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	539.2333333333333		535.5		30	10	36	0.9	29	1	7	3	0.9666666666666668	0.0333333333333333	0.7	0.3	557.6551724137931	380.0	551.0	385.0	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	633.0	483.0	608.5	483.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	525.8333333333334	405.6666666666667	541.5	399.0
4	150	50	171	0.855	143	7	28	22	0.9533333333333334	0.0466666666666666	0.56	0.44	557.3846153846154	416.45454545454544	523.0	460.5	30	10	35	0.875	28	2	7	3	0.9333333333333332	0.0666666666666666	0.7	0.3	557.2857142857143	377.0	533.5	469.0	30	10	35	0.875	29	1	6	4	0.9666666666666668	0.0333333333333333	0.6	0.4	554.8965517241379	487.5	529.0	490.0	30	10	34	0.85	29	1	5	5	0.9666666666666668	0.0333333333333333	0.5	0.5	563.1379310344828	430.8	526.0	427.0	30	10	33	0.825	28	2	5	5	0.9333333333333332	0.0666666666666666	0.5	0.5	552.25	324.4	530.0	406.0	30	10	34	0.85	29	1	5	5	0.9666666666666668	0.0333333333333333	0.5	0.5	559.1724137931035	461.0	501.0	461.0
6	150	50	182	0.91	147	3	35	15	0.98	0.02	0.7	0.3	548.3129251700681	381.3333333333333	522.0	398.0	30	10	34	0.85	30	0	4	6	1.0	0.0	0.4	0.6	527.2	425.8333333333333	506.5	386.5	30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	551.5333333333333		546.5		30	10	36	0.9	29	1	7	3	0.9666666666666668	0.0333333333333333	0.7	0.3	528.0	314.0	506.0	303.0	30	10	36	0.9	29	1	7	3	0.9666666666666668	0.0333333333333333	0.7	0.3	512.7586206896551	308.3333333333333	483.0	398.0	30	10	36	0.9	29	1	7	3	0.9666666666666668	0.0333333333333333	0.7	0.3	622.6896551724138	432.6666666666667	601.0	469.0
9	150	50	157	0.785	138	12	19	31	0.92	0.08	0.38	0.62	437.3985507246377	388.5483870967742	423.0	385.0	30	10	33	0.825	29	1	4	6	0.9666666666666668	0.0333333333333333	0.4	0.6	486.6896551724138	471.3333333333333	474.0	428.0	30	10	32	0.8	28	2	4	6	0.9333333333333332	0.0666666666666666	0.4	0.6	424.57142857142856	420.8333333333333	403.5	422.5	30	10	32	0.8	28	2	4	6	0.9333333333333332	0.0666666666666666	0.4	0.6	439.3571428571428	330.8333333333333	397.5	338.0	30	10	31	0.775	27	3	4	6	0.9	0.1	0.4	0.6	444.7037037037037	350.8333333333333	408.0	365.5	30	10	29	0.725	26	4	3	7	0.8666666666666667	0.1333333333333333	0.3	0.7	386.5384615384616	371.7142857142857	381.5	394.0
11	150	50	190	0.95	148	2	42	8	0.9866666666666667	0.013333333333333334	0.84	0.16	501.36486486486484	342.5	501.0	322.0	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	566.0333333333333	431.0	549.0	431.0	30	10	38	0.95	29	1	9	1	0.9666666666666667	0.03333333333333333	0.9	0.1	549.3793103448276	316.0	551.0	316.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	455.96666666666664	328.0	455.5	328.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	459.8666666666667	347.0	465.5	347.0	30	10	38	0.95	29	1	9	1	0.9666666666666667	0.03333333333333333	0.9	0.1	476.3448275862069	315.0	482.0	315.0
