sub	ses	model	params	beta	alpha	lambda	w	pi	rho	loglikelihood	bic	aic	latents
21	1	HybridModel_NoStimSticky_NoRespSticky	4	3.36187126866422	0.000277883933902942	0.328161123979374	0.999796445128815			-65.1401622645336	148.70100527302	138.280324529067	0
39	1	HybridModel_NoStimSticky_NoRespSticky	4	3.39198078307413	0.00299620224731059	0.999989702547826	0.635208042735131			-65.1461546940201	148.712990131993	138.29230938804	0
41	1	HybridModel_NoStimSticky_NoRespSticky	4	3.45905564793535	0.00166347403574557	0.338467665119495	0.999999273863875			-68.9113968225479	156.243474389048	145.822793645096	0
45	1	HybridModel_NoStimSticky_NoRespSticky	4	3.50235233133555	0.041703583573076	2.65915331282066e-09	0.142182669813712			-66.2159362018739	150.8525531477	140.431872403748	0
47	1	HybridModel_NoStimSticky_NoRespSticky	4	0.349678611601845	0.661458506323432	0.999999932177937	0.0586231799918878			-56.5801129717822	131.580906687517	121.160225943564	0
48	1	HybridModel_NoStimSticky_NoRespSticky	4	3.35577754703157	0.00531696507673811	0.666641700064851	0.565491021977612			-65.0311434322928	148.482967608538	138.062286864586	0
49	1	HybridModel_NoStimSticky_NoRespSticky	4	3.37308157821366	0.00211766468381592	0.99998332375719	0.477823611913054			-67.8998339048705	154.220348553693	143.799667809741	0
51	1	HybridModel_NoStimSticky_NoRespSticky	4	0.490669658174211	0.999999997887882	0.99999999852027	5.59971088239029e-10			-54.0242413663116	126.469163476575	116.048482732623	0
52	1	HybridModel_NoStimSticky_NoRespSticky	4	3.35767739381682	0.00493301029740062	0.999994138900537	0.318498144816531			-67.806652138601	154.033985021154	143.613304277202	0
54	1	HybridModel_NoStimSticky_NoRespSticky	4	3.11220519997367	0.0109844951374066	0.999998544121751	1.66380993753164e-05			-61.5026179308118	141.425916605576	131.005235861624	0
55	1	HybridModel_NoStimSticky_NoRespSticky	4	3.3851893371266	0.0146017513926539	0.299395878540556	0.209290435405788			-67.1152846032906	152.651249950534	142.230569206581	0
56	1	HybridModel_NoStimSticky_NoRespSticky	4	3.36139850199092	0.00232618060501392	0.0146389550722969	2.74991108976597e-07			-62.3824654897049	143.185611723362	132.76493097941	0
57	1	HybridModel_NoStimSticky_NoRespSticky	4	3.40746097541492	0.0199641757220176	0.0416700585235927	0.0932096585416817			-64.6679430314268	147.756566806806	137.335886062854	0
68	1	HybridModel_NoStimSticky_NoRespSticky	4	3.27773278825353	0.00575780438000691	0.999997416491127	0.0226720201154637			-65.2041858403915	148.829052424735	138.408371680783	0
69	1	HybridModel_NoStimSticky_NoRespSticky	4	3.30702857254151	0.00892845802576381	0.999997137064231	0.0048820117015401			-59.4577642054138	137.33620915478	126.915528410828	0
70	1	HybridModel_NoStimSticky_NoRespSticky	4	3.38296676684891	0.00646445076958596	0.9999537670775	0.49875155678135			-67.1447570170737	152.7101947781	142.289514034147	0
