sub	ses	block	trial	timeout_earth	timeout_planet	state_earth	state_planet	stim_left	stim_right	rt_earth	rt_planet	choice_earth	response	points	stake	win	score	rewards1	rewards2	missed_earth	missed_planet	prev_state_earth	prev_state_planet	same_earth	same_planet
1	2	1	1	0	0	1	1	1	2	0.567	0.408	2	2	7.0		1	7	7	3	0	0	0.0	0.0	0	0
1	2	1	2	0	0	1	2	1	2	0.996	0.489	1	1	1.0		1	8	6	1	0	0	1.0	1.0	1	0
1	2	1	3	0	0	2	1	3	4	0.239	0.452	4	2	6.0		1	14	6	0	0	0	1.0	2.0	0	0
1	2	1	4	0	0	2	1	3	4	0.569	0.616	4	2	6.0		1	20	6	0	0	0	2.0	1.0	1	1
1	2	1	5	0	0	1	2	1	2	0.324	0.946	1	1	3.0		1	23	7	3	0	0	2.0	1.0	0	0
1	2	1	6	0	0	1	1	1	2	1.76	0.342	2	2	6.0		1	29	6	3	0	0	1.0	2.0	1	0
1	2	1	7	0	0	2	1	3	4	0.265	0.37	4	2	7.0		1	36	7	3	0	0	1.0	1.0	0	1
1	2	1	8	0	0	2	1	3	4	0.462	0.648	4	2	7.0		1	43	7	2	0	0	2.0	1.0	1	1
1	2	1	9	0	0	1	1	1	2	0.354	0.419	2	2	8.0		1	51	8	2	0	0	2.0	1.0	0	1
1	2	1	10	0	0	2	2	4	3	0.61	0.473	3	2	2.0		1	53	9	2	0	0	1.0	1.0	0	0
1	2	1	11	0	0	1	1	2	1	0.883	0.866	2	1	7.0		1	60	7	3	0	0	2.0	2.0	0	0
1	2	1	12	0	0	2	2	4	3	0.728	0.653	3	2	0.0		0	60	9	0	0	0	1.0	1.0	0	0
1	2	1	13	0	0	1	1	2	1	0.579	0.215	2	1	7.0		1	67	7	0	0	0	2.0	2.0	0	0
1	2	1	14	0	0	1	1	2	1	0.759	0.089	2	1	9.0		1	76	9	0	0	0	1.0	1.0	1	1
1	2	1	15	0	0	1	2	2	1	0.605	0.483	1	2	1.0		1	77	7	1	0	0	1.0	1.0	1	0
1	2	1	16	0	0	1	1	1	2	0.816	0.497	2	2	5.0		1	82	5	0	0	0	1.0	2.0	1	0
1	2	1	17	0	0	2	1	3	4	0.768	0.554	4	2	5.0		1	87	5	5	0	0	1.0	1.0	0	1
1	2	1	18	0	0	1	2	1	2	0.698	0.327	1	1	4.0		1	91	6	4	0	0	2.0	1.0	0	0
1	2	1	19	0	0	2	1	3	4	0.842	0.564	4	2	9.0		1	100	9	3	0	0	1.0	2.0	0	0
1	2	1	20	0	0	1	1	1	2	1.72	0.742	2	2	8.0		1	108	8	7	0	0	2.0	1.0	0	1
1	2	1	21	0	0	1	2	2	1	1.749	0.462	1	2	9.0		1	117	8	9	0	0	1.0	1.0	1	0
1	2	1	22	0	0	2	2	3	4	1.079	0.425	3	1	7.0		1	124	7	7	0	0	1.0	2.0	0	1
1	2	1	23	0	0	1	1	1	2	0.389	1.343	2	2	7.0		1	131	7	5	0	0	2.0	2.0	0	0
1	2	1	24	0	0	2	1	3	4	0.333	0.372	4	2	7.0		1	138	7	4	0	0	1.0	1.0	0	1
1	2	1	25	0	0	1	1	1	2	1.332	0.081	2	2	7.0		1	145	7	4	0	0	2.0	1.0	0	1
1	2	2	26	0	0	2	1	3	4	0.454	0.056	4	2	9.0		1	154	9	4	0	0	1.0	1.0	0	1
1	2	2	27	0	0	2	1	3	4	0.943	0.402	4	2	7.0		1	161	7	4	0	0	2.0	1.0	1	1
1	2	2	28	0	0	2	2	4	3	1.226	0.466	3	2	7.0		1	168	8	7	0	0	2.0	1.0	1	0
1	2	2	29	0	0	1	2	1	2	1.593	0.413	1	1	9.0		1	177	7	9	0	0	2.0	2.0	0	1
1	2	2	30	1	0	2	0	3	4	-1.0	-1.0	-1	3	0.0		0	177	3	7	1	1	1.0	2.0	0	0
1	2	2	31	0	0	2	2	4	3	0.393	0.196	3	2	7.0		1	184	5	7	0	0	2.0	0.0	1	0
1	2	2	32	0	1	1	1	1	2	0.588	-1.0	2	2	0.0		0	184	1	4	0	1	2.0	2.0	0	0
1	2	2	33	0	0	1	1	1	2	0.451	1.068	2	2	2.0		1	186	2	4	0	0	1.0	1.0	1	1
1	2	2	34	0	0	1	2	1	2	0.791	0.611	1	1	7.0		1	193	4	7	0	0	1.0	1.0	1	0
1	2	2	35	0	0	1	2	2	1	0.832	0.399	1	2	5.0		1	198	4	5	0	0	1.0	2.0	1	1
1	2	2	36	1	0	1	0	1	2	-1.0	-1.0	-1	3	0.0		0	198	4	8	1	1	1.0	2.0	1	0
1	2	2	37	0	0	2	2	3	4	0.243	0.422	3	1	7.0		1	205	0	7	0	0	1.0	0.0	0	0
1	2	2	38	0	0	2	2	4	3	1.943	0.529	3	2	9.0		1	214	0	9	0	0	2.0	2.0	1	1
1	2	2	39	0	0	2	1	4	3	0.001	0.126	4	1	2.0		1	216	2	6	0	0	2.0	2.0	1	0
1	2	2	40	0	0	2	1	3	4	0.852	0.057	4	2	6.0		1	222	6	3	0	0	2.0	1.0	1	1
1	2	2	41	0	0	1	1	1	2	0.068	0.015	2	2	6.0		1	228	6	4	0	0	2.0	1.0	0	1
1	2	2	42	0	0	1	2	2	1	0.035	1.301	1	2	4.0		1	232	5	4	0	0	1.0	1.0	1	0
1	2	2	43	0	0	1	1	1	2	0.001	0.074	2	2	5.0		1	237	5	2	0	0	1.0	2.0	1	0
1	2	2	44	0	0	1	2	2	1	0.239	0.001	1	2	1.0		1	238	3	1	0	0	1.0	1.0	1	0
1	2	2	45	0	0	2	2	4	3	0.264	0.063	3	2	1.0		1	239	0	1	0	0	1.0	2.0	0	1
1	2	2	46	0	0	1	2	2	1	0.057	0.047	1	2	3.0		1	242	0	3	0	0	2.0	2.0	0	1
1	2	2	47	1	0	2	0	4	3	-1.0	-1.0	-1	3	0.0		0	242	6	6	1	1	1.0	2.0	0	0
1	2	2	48	0	0	2	1	4	3	0.608	0.008	4	1	3.0		1	245	3	6	0	0	2.0	0.0	1	0
1	2	2	49	0	0	2	2	3	4	0.696	0.977	3	1	5.0		1	250	2	5	0	0	2.0	1.0	1	0
1	2	2	50	0	0	1	1	1	2	0.376	0.386	2	2	4.0		1	254	4	8	0	0	2.0	2.0	0	0
1	2	3	51	0	0	1	2	2	1	1.196	0.782	1	2	8.0		1	262	3	8	0	0	1.0	1.0	1	0
1	2	3	52	0	0	2	1	3	4	0.287	0.46	4	2	5.0		1	267	5	7	0	0	1.0	2.0	0	0
1	2	3	53	0	0	1	1	1	2	0.642	0.622	2	2	6.0		1	273	6	4	0	0	2.0	1.0	0	1
1	2	3	54	0	0	2	1	3	4	0.369	0.34	4	2	9.0		1	282	9	4	0	0	1.0	1.0	0	1
