sub	ses	all_earth_rt_mean	all_earth_rt_median	all_earth_n_miss	all_earth_p_miss	all_planet_rt_mean	all_planet_rt_median	all_planet_n_miss	all_planet_p_miss	all_reward_rate	all_avg_reward	b1_earth_rt_mean	b1_earth_rt_median	b1_earth_n_miss	b1_earth_p_miss	b1_planet_rt_mean	b1_planet_rt_median	b1_planet_n_miss	b1_planet_p_miss	b1_reward_rate	b1_avg_reward	b2_earth_rt_mean	b2_earth_rt_median	b2_earth_n_miss	b2_earth_p_miss	b2_planet_rt_mean	b2_planet_rt_median	b2_planet_n_miss	b2_planet_p_miss	b2_reward_rate	b2_avg_reward	b3_earth_rt_mean	b3_earth_rt_median	b3_earth_n_miss	b3_earth_p_miss	b3_planet_rt_mean	b3_planet_rt_median	b3_planet_n_miss	b3_planet_p_miss	b3_reward_rate	b3_avg_reward	b4_earth_rt_mean	b4_earth_rt_median	b4_earth_n_miss	b4_earth_p_miss	b4_planet_rt_mean	b4_planet_rt_median	b4_planet_n_miss	b4_planet_p_miss	b4_reward_rate	b4_avg_reward	all_earth_rt_mean.1	all_earth_rt_median.1	all_earth_n_miss.1	all_earth_p_miss.1	all_planet_rt_mean.1	all_planet_rt_median.1	all_planet_n_miss.1	all_planet_p_miss.1	all_reward_rate.1	all_avg_reward.1	all_reward_rate_corrected	all_prob_sameplanet_earthsame	all_prob_sameplanet_earthdif	b1_reward_rate_corrected	b1_prob_sameplanet_earthsame	b1_prob_sameplanet_earthdif	b2_reward_rate_corrected	b2_prob_sameplanet_earthsame	b2_prob_sameplanet_earthdif	b3_reward_rate_corrected	b3_prob_sameplanet_earthsame	b3_prob_sameplanet_earthdif	b4_reward_rate_corrected	b4_prob_sameplanet_earthsame	b4_prob_sameplanet_earthdif
1	2	712.0980482915123	608.3714319247521	3	0.03	453.5853011778833	422.8551206178964	6	0.06	5.2340425531914905	4.86	776.9771072629374	697.9886421613628	0	0.0	513.4067734790733	472.7809071482625	0	0.0	5.8	4.96	575.2526713602657	452.9622447298607	3	0.12	362.6725409114789	386.03001816954935	4	0.16	5.190476190476192	4.54	883.112910912605	737.0196163537912	0	0.0	397.53263299644465	339.6930382004939	2	0.08	4.869565217391305	4.92	596.6280583984917	549.4471897836776	0	0.0	521.6990022273967	445.4277425975306	0	0.0	5.04	5.02											0.3740425531914893	0.425531914893617	0.4893617021276596	0.8399999999999999	0.375	0.4117647058823529	0.6504761904761907	0.35714285714285715	0.5714285714285714	-0.05043478260869527	0.5833333333333334	0.4545454545454545	0.020000000000000462	0.4166666666666667	0.4615384615384616
2	2	907.5132413042984	958.8651637313887	3	0.03	617.2147561668871	546.3320561975706	5	0.05	4.842105263157895	4.69	990.4084807882706	1002.4989666344483	1	0.04	497.4331036083522	521.6829461569432	2	0.08	3.8695652173913038	3.88	1072.3379811079212	1076.3771594210993	1	0.04	648.1169525159203	597.3532934876857	1	0.04	3.625	3.02	771.5049908478978	675.0980468932538	0	0.0	639.7798296948167	528.4518505868618	1	0.04	6.75	6.8	801.4685229087869	808.2380807027222	1	0.04	678.5382366585205	654.2708789056633	1	0.04	5.083333333333333	5.06											0.1521052631578943	0.3191489361702128	0.4791666666666667	-0.010434782608695679	0.4615384615384616	0.3	0.605	0.3333333333333333	0.5333333333333333	-0.049999999999999815	0.3636363636363637	0.5384615384615384	0.023333333333333428	0.15384615384615385	0.3636363636363637
3	2	940.4134206543677	888.8924489729106	0	0.0	627.7382582169957	612.1290184091778	0	0.0	5.21	4.89	954.2587195895613	886.5504865534604	0	0.0	632.8056912217289	628.4677993971853	0	0.0	4.28	4.68	915.480546206236	922.21580282785	0	0.0	599.9233795050533	612.8364950418472	0	0.0	4.04	4.02	929.9474161118268	889.0940030105412	0	0.0	672.8819076530635	615.7431949395686	0	0.0	6.76	5.98	961.9670007098466	878.0888423789293	0	0.0	605.3420544881374	544.6195984259249	0	0.0	5.76	4.88											0.3200000000000003	0.7551020408163265	0.6862745098039216	-0.39999999999999947	0.75	0.5882352941176471	0.020000000000000462	0.8	0.7	0.7799999999999994	0.8461538461538461	0.8333333333333334	0.8799999999999999	0.6666666666666666	0.6153846153846154
5	2	951.006861408336	979.9846756441184	2	0.02	813.8365547952678	720.4107818160992	3	0.03	4.113402061855671	4.1	878.71860013585	909.9171511315944	1	0.04	888.2462906400654	744.8766600700765	2	0.08	3.8695652173913038	3.74	1037.4766468408052	1028.2174591193325	0	0.0	775.2673374463484	720.4107818160992	0	0.0	4.88	4.98	992.5796569616524	1027.7099899976747	1	0.04	732.4552861581045	617.4763204535337	1	0.04	3.208333333333333	3.4	894.0239230662702	922.5778019408607	0	0.0	862.0748330586503	780.6935948701721	0	0.0	4.44	4.28											0.013402061855670055	0.39130434782608703	0.5098039215686274	0.129565217391304	0.2222222222222222	0.35714285714285715	-0.10000000000000052	0.4	0.5333333333333333	-0.19166666666666646	0.5	0.75	0.16000000000000014	0.42857142857142855	0.2727272727272727
6	2	813.6085289902205	782.817153914948	3	0.03	670.0232235226157	610.1273823878728	5	0.05	5.56842105263158	4.97	798.0015992715894	767.9142527631484	2	0.08	709.8113447838998	700.6359279912431	2	0.08	6.130434782608695	5.96	889.8763085744577	790.5037239033845	1	0.04	695.3078601718121	615.5298661178676	2	0.08	5.652173913043479	3.68	775.2628980681766	794.8574241017923	0	0.0	651.2063220870914	592.6450243277941	0	0.0	4.68	4.48	793.0954668525374	788.8606271299068	0	0.0	627.2627695204088	595.0558401527816	1	0.04	5.875	5.76											0.5984210526315792	0.8666666666666667	0.7	0.17043478260869538	0.8461538461538461	0.6	1.9721739130434783	0.75	0.8	0.1999999999999993	0.8	0.5333333333333333	0.1150000000000002	1.0	0.6923076923076923
7	2	1109.6220210980935	1134.97402854955	6	0.06	654.2997898144135	647.7110526939214	6	0.06	5.297872340425532	4.775	1191.5480522473747	1223.0114616286298	1	0.04	577.1149214157655	526.1295569471258	1	0.04	4.291666666666667	3.48	1314.4017146920912	1290.3858967456472	1	0.04	685.3298851638101	712.0893317169248	1	0.04	6.5	5.62	1033.1126094022932	1059.9989113070478	2	0.08	630.2894943285578	622.8877256835402	2	0.08	4.739130434782608	4.66	886.9602417574283	984.14357630827	2	0.08	726.4715876125314	787.1416476227748	2	0.08	5.652173913043479	5.34											0.5228723404255318	0.5909090909090909	0.4	0.811666666666667	0.5333333333333333	0.3333333333333333	0.8799999999999999	0.7	0.5714285714285714	0.07913043478260827	0.6666666666666666	0.2857142857142857	0.31217391304347863	0.5555555555555556	0.35714285714285715
9	2	779.0057381480988	708.2644501933827	1	0.01	439.829812759334	392.9127383162268	2	0.02	4.673469387755102	4.67	941.7306346260012	873.111687367782	0	0.0	575.7676450836394	521.4026514440775	1	0.04	3.25	3.54	772.6456941338257	645.4763383371755	0	0.0	440.6872277706862	390.6512157991529	0	0.0	3.4	3.46	684.8006325065703	575.0610472168772	1	0.04	441.8777156582413	355.5018132901751	1	0.04	5.958333333333332	5.4	713.0777871003373	652.5989453075454	0	0.0	306.5060919336974	324.3797202594578	0	0.0	6.08	6.28											0.003469387755101749	0.4565217391304348	0.5	-0.29000000000000004	0.6363636363636364	0.5384615384615384	-0.06000000000000005	0.3636363636363637	0.35714285714285715	0.5583333333333327	0.4	0.5	-0.20000000000000015	0.4615384615384616	0.5
11	2	848.1447987900538	822.9802122382354	0	0.0	470.979300211402	452.8144211240033	0	0.0	5.36	4.485	804.2479042397099	778.4195785607152	0	0.0	471.2979696916954	458.7142119371492	0	0.0	6.16	4.78	820.8325550761218	836.9440823162222	0	0.0	520.9937628146872	525.7453173799148	0	0.0	6.56	5.84	968.5637625072924	959.3327817301542	0	0.0	482.69205955017236	434.71179653988656	0	0.0	3.92	3.58	798.9349733370909	760.4618509603824	0	0.0	408.93340878905286	403.9320525189396	0	0.0	4.8	3.74											0.875	0.8367346938775511	0.7254901960784313	1.38	0.875	0.7777777777777778	0.7199999999999998	0.7692307692307693	0.9166666666666666	0.33999999999999986	0.8888888888888888	0.4375	1.0599999999999996	0.8	0.6666666666666666
17	2	806.9116304075467	819.6670984307275	1	0.01	664.6166284150353	619.9768089272766	2	0.02	5.214285714285714	4.975	620.3019342057814	539.1241656725472	0	0.0	597.2922209431272	610.7260801964002	0	0.0	5.4	5.18	1025.0450206112146	957.5789440204973	0	0.0	819.3967070177313	705.3400791282912	0	0.0	4.04	4.32	851.8171260390227	805.7464979392536	0	0.0	568.8591336990066	552.3610616673977	0	0.0	6.8	6.3	727.2978912061111	793.7304619563292	1	0.04	673.6403497033399	598.6210765604483	2	0.08	4.565217391304348	4.1											0.2392857142857148	0.52	0.4583333333333333	0.22000000000000064	0.5384615384615384	0.5833333333333334	-0.28000000000000025	0.4615384615384616	0.5	0.5	0.6153846153846154	0.3333333333333333	0.46521739130434797	0.5	0.38461538461538464
18	2	906.1312806854883	848.9337517239619	1	0.01	716.3130221597385	636.1423568014287	2	0.02	5.938775510204081	5.255	931.5987627190773	850.9688091871794	0	0.0	744.4391463097418	662.0779770164518	0	0.0	5.8	5.52	982.9094878130127	859.1161860531429	0	0.0	747.8797399578616	782.0222034788459	0	0.0	5.92	5.66	932.2964978491657	933.7022219915524	1	0.04	730.4561041116053	666.1016481521074	1	0.04	6.0	5.62	778.7669830472441	742.7335948741528	0	0.0	639.9898965119064	561.9822060398292	1	0.04	6.041666666666668	4.22											0.6837755102040814	0.5	0.5652173913043478	0.28000000000000025	0.4615384615384616	0.75	0.2599999999999998	0.5	0.38461538461538464	0.3799999999999999	0.4545454545454545	0.38461538461538464	1.8216666666666672	0.5714285714285714	0.6
