sub	ses	block	earth_rt_mean	earth_rt_median	earth_n_miss	earth_p_miss	planet_rt_mean	planet_rt_median	planet_n_miss	planet_p_miss	reward_rate	avg_reward	reward_rate_corrected	prob_sameplanet_earthsame	prob_sameplanet_earthdif
21	1	b1	1135.249	1095.643	2	0.08	826.292	811.313	2	0.08	6.087	5.96	0.127	0.357	0.444
21	1	b2	1126.981	1061.66	1	0.04	954.279	890.085	2	0.08	2.652	3.26	-0.608	0.273	0.417
21	1	b3	1101.874	947.168	0	0.0	728.926	716.386	1	0.04	3.375	3.54	-0.165	0.167	0.667
21	1	b4	838.574	854.516	0	0.0	878.66	865.668	1	0.04	5.292	4.8	0.492	0.538	0.364
39	1	b1	1047.023	962.225	2	0.08	930.32	862.397	2	0.08	5.565	5.78	-0.215	0.7	0.154
39	1	b2	1007.601	1033.088	2	0.08	1006.861	935.881	2	0.08	4.696	4.4	0.296	0.444	0.571
39	1	b3	926.446	845.648	0	0.0	782.287	726.512	0	0.0	4.36	3.84	0.52	0.6	0.467
39	1	b4	925.524	900.632	0	0.0	584.186	517.584	1	0.04	3.75	3.62	0.13	0.5	0.5
41	1	b1	507.003	485.717	0	0.0	520.96	413.885	0	0.0	4.0	3.58	0.42	0.647	0.25
41	1	b2	764.422	747.39	0	0.0	536.251	472.149	0	0.0	5.68	5.54	0.14	0.417	0.308
41	1	b3	747.896	753.775	0	0.0	569.04	570.069	0	0.0	4.0	3.48	0.52	0.733	0.4
41	1	b4	729.193	682.063	0	0.0	591.827	511.964	0	0.0	5.36	5.96	-0.6	0.462	0.5
45	1	b1	941.468	921.759	0	0.0	390.248	389.927	0	0.0	4.72	4.6	0.12	0.6	0.4
45	1	b2	857.885	780.859	0	0.0	425.474	388.679	0	0.0	4.32	3.22	1.1	0.5	0.462
45	1	b3	853.632	757.038	0	0.0	383.548	370.554	1	0.04	6.5	5.64	0.86	0.615	0.364
45	1	b4	852.296	866.847	0	0.0	383.473	386.187	0	0.0	4.8	4.18	0.62	0.615	0.5
47	1	b1	780.867	720.383	0	0.0	572.769	537.263	2	0.08	3.696	3.72	-0.024	0.714	0.667
