sub	block	condition	racehorse_check	n_stop_trials	n_go_trials	go_rt	n_go_cor	go_cor_rt	n_go_error	go_error_rt	n_go_miss	stop_prob_resp	us_rt	ssd	ssrt_mean	ssrt_int
1	1	lED_lPort	1	16	48	868.1041666666666	46	872.6521739130435	2	763.5	0	0.3125	702.6	435.5	432.60416666666663	310.0625
1	2	lED_sPort	1	16	48	845.304347826087	46	845.304347826087	0		2	0.375	635.1666666666666	406.25	439.054347826087	407.25
1	3	hED_sPort	1	16	48	792.1914893617021	46	789.6739130434783	1	908.0	1	0.5	505.625	433.3125	358.8789893617021	346.6875
1	4	hED_lPort	1	16	48	788.4166666666666	46	802.0217391304348	2	475.5	0	0.375	573.5	312.375	476.04166666666663	347.375
4	1	hED_lPort	1	16	48	744.875	48	744.875	0		0	0.4375	568.2857142857143	305.125	439.75	326.4375
4	2	hED_sPort	1	16	48	788.7083333333334	47	783.6808510638298	1	1025.0	0	0.4375	628.0	299.0	489.70833333333337	407.625
4	3	lED_lPort	1	16	48	788.9574468085107	46	793.8260869565217	1	565.0	1	0.375	614.3333333333334	370.9375	418.01994680851067	320.3125
4	4	lED_sPort	1	16	48	777.0	44	778.0454545454545	1	731.0	3	0.5	674.8571428571429	285.375	491.625	411.125
5	1	lED_lPort	1	16	48	654.875	43	659.4651162790698	5	615.4	0	0.5625	523.3333333333334	289.6875	365.1875	338.0
5	2	hED_lPort	0	16	48	622.3958333333334	46	628.5217391304348	2	481.5	0	0.4375	783.2857142857143	260.5		
5	3	hED_sPort	1	16	48	620.3125	43	641.6976744186046	5	436.4	0	0.4375	505.2857142857143	199.0625	421.25	350.0625
5	4	lED_sPort	1	16	48	659.1041666666666	47	660.3191489361702	1	602.0	0	0.5	531.0	217.8125	441.29166666666663	407.6875
6	1	lED_lPort	1	16	48	774.7142857142857	42	771.0975609756098	3	923.0	3	0.375	677.0	338.5625	384.5041666666667	325.6875
6	2	hED_lPort	0	16	48	732.5384615384615	37	738.1351351351351	2	629.0	9	0.5	768.0	284.3125		
6	3	hED_sPort	0	16	48	610.2291666666666	48	610.2291666666666	0		0	0.5	677.25	261.3125		
6	4	lED_sPort	0	16	48	591.8888888888889	45	587.8409090909091	1	770.0	2	0.5	597.5	243.8125		
7	1	hED_lPort	1	16	48	770.5111111111111	44	764.4545454545455	1	1037.0	3	0.5	623.25	262.4375	508.07361111111106	528.5625
7	2	hED_sPort	1	16	48	899.1111111111111	43	902.6279069767442	2	823.5	3	0.5	893.875	318.75	580.3611111111111	573.75
11	1	lED_lPort	1	16	48	853.1521739130435	46	853.1521739130435	0		2	0.3125	545.8	493.75	359.4021739130435	324.125
11	2	hED_lPort	1	16	48	771.0625	47	785.0425531914893	1	114.0	0	0.3125	432.2	281.25	489.8125	415.5625
11	3	hED_sPort	1	16	48	548.4893617021277	45	561.1777777777778	2	263.0	1	0.4375	431.42857142857144	300.0	248.48936170212767	175.125
11	4	lED_sPort	1	16	48	431.9583333333333	48	431.9583333333333	0		0	0.625	407.7	150.0	281.9583333333333	305.5
17	1	lED_lPort	1	16	48	608.2083333333334	47	614.7872340425532	0		0	0.4375	510.0	268.75	339.45833333333337	284.75
17	2	hED_lPort	1	16	48	535.7708333333334	46	543.304347826087	0		0	0.5	508.125	232.3125	303.45833333333337	276.1875
17	3	hED_sPort	0	16	48	585.0625	46	588.804347826087	0		0	0.5	667.375	243.75		
17	4	lED_sPort	1	16	48	601.25	48	601.25	0		0	0.4375	520.2857142857143	356.25	245.0	199.3125
