sub	all_racehorse_check	all_n_stop_trials	all_n_go_trials	all_go_rt	all_n_go_cor	all_go_cor_rt	all_n_go_error	all_go_error_rt	all_n_go_miss	all_stop_prob_resp	all_us_rt	all_ssd	all_ssrt_mean	all_ssrt_int	h_ed_racehorse_check	h_ed_n_stop_trials	h_ed_n_go_trials	h_ed_go_rt	h_ed_n_go_cor	h_ed_go_cor_rt	h_ed_n_go_error	h_ed_go_error_rt	h_ed_n_go_miss	h_ed_stop_prob_resp	h_ed_us_rt	h_ed_ssd	h_ed_ssrt_mean	h_ed_ssrt_int	l_ed_racehorse_check	l_ed_n_stop_trials	l_ed_n_go_trials	l_ed_go_rt	l_ed_n_go_cor	l_ed_go_cor_rt	l_ed_n_go_error	l_ed_go_error_rt	l_ed_n_go_miss	l_ed_stop_prob_resp	l_ed_us_rt	l_ed_ssd	l_ed_ssrt_mean	l_ed_ssrt_int	l_port_racehorse_check	l_port_n_stop_trials	l_port_n_go_trials	l_port_go_rt	l_port_n_go_cor	l_port_go_cor_rt	l_port_n_go_error	l_port_go_error_rt	l_port_n_go_miss	l_port_stop_prob_resp	l_port_us_rt	l_port_ssd	l_port_ssrt_mean	l_port_ssrt_int	s_port_racehorse_check	s_port_n_stop_trials	s_port_n_go_trials	s_port_go_rt	s_port_n_go_cor	s_port_go_cor_rt	s_port_n_go_error	s_port_go_error_rt	s_port_n_go_miss	s_port_stop_prob_resp	s_port_us_rt	s_port_ssd	s_port_ssrt_mean	s_port_ssrt_int
1	1	64	192	823.4391534391534	184	827.4130434782609	5	677.2	3	0.390625	592.4	396.859375	426.5797784391534	355.796875	1	32	96	790.2842105263157	92	795.8478260869565	3	619.6666666666666	1	0.4375	534.7142857142857	372.84375	417.44046052631575	373.28125	1	32	96	856.9468085106383	92	858.9782608695652	2	763.5	2	0.34375	665.8181818181819	420.875	436.07180851063833	337.78125	1	32	96	828.2604166666666	92	837.3369565217391	4	619.5	0	0.34375	632.1818181818181	373.9375	454.32291666666663	338.96875	1	32	96	818.4623655913979	92	817.4891304347826	1	908.0	3	0.4375	561.1428571428571	419.78125	398.6811155913979	364.03125
4	1	64	192	774.7765957446809	185	774.7945945945946	3	773.6666666666666	4	0.4375	621.6296296296297	315.109375	459.6672207446809	371.578125	1	32	96	766.7916666666666	95	764.0736842105263	1	1025.0	0	0.4375	598.1428571428571	302.0625	464.72916666666663	355.75	1	32	96	783.1086956521739	90	786.1111111111111	2	648.0	4	0.4375	646.9230769230769	328.15625	454.9524456521739	364.84375	1	32	96	766.6842105263158	94	768.8297872340426	1	565.0	1	0.40625	589.5384615384615	338.03125	428.65296052631584	327.96875	1	32	96	783.0430107526881	91	780.9560439560439	2	878.0	3	0.46875	651.4285714285714	292.1875	490.85551075268813	406.9375
5	1	64	192	639.171875	179	647.4692737430167	13	524.9230769230769	0	0.484375	579.9354838709677	241.765625	397.40625	366.265625	0	32	96	621.3541666666666	89	634.8876404494382	7	449.2857142857143	0	0.4375	644.2857142857143	229.78125			1	32	96	656.9895833333334	90	659.9111111111112	6	613.1666666666666	0	0.53125	526.9411764705883	253.75	403.23958333333337	371.53125	1	32	96	638.6354166666666	89	643.4719101123595	7	577.1428571428571	0	0.5	637.0625	275.09375	363.54166666666663	334.40625	1	32	96	639.7083333333334	90	651.4222222222222	6	464.0	0	0.46875	519.0	208.4375	431.27083333333337	397.28125
6	0	64	192	672.6034482758621	172	671.0705882352942	6	737.75	14	0.46875	677.1034482758621	282.0			0	32	96	665.0574712643678	85	665.9058823529411	2	629.0	9	0.5	719.6	272.8125			1	32	96	680.1494252873563	87	676.2352941176471	4	846.5	5	0.4375	631.5714285714286	291.1875	359.0652472527472	297.5	1	32	96	754.4074074074074	79	755.4615384615385	5	727.0	12	0.4375	726.0	311.4375	416.02678571428567	350.375	0	32	96	601.3548387096774	93	599.5217391304348	1	770.0	2	0.5	637.375	252.5625		
7	1	32	96	834.8111111111111	87	832.7471264367816	3	894.6666666666666	6	0.5	758.5625	290.59375	544.2173611111111	563.90625																																																								
11	1	64	192	649.5714285714286	186	656.6075268817204	3	213.33333333333334	3	0.421875	443.962962962963	306.25	343.32142857142856	227.0625	1	32	96	660.9473684210526	92	675.5434782608696	3	213.33333333333334	1	0.375	431.75	290.625	370.3223684210526	296.125	1	32	96	638.0744680851063	94	638.0744680851063	0		2	0.46875	453.73333333333335	321.875	316.19946808510633	196.5625	1	32	96	811.2340425531914	93	818.7311827956989	1	114.0	2	0.3125	489.0	387.5	423.73404255319144	340.6875	1	32	96	489.61052631578946	93	494.48387096774195	2	263.0	1	0.53125	417.47058823529414	225.0	264.61052631578946	246.40625
17	1	64	192	582.5729166666666	187	587.336898395722	0		0	0.46875	553.8666666666667	275.265625	307.30729166666663	275.796875	0	32	96	560.4166666666666	92	566.054347826087	0		0	0.5	587.75	238.03125			1	32	96	604.7291666666666	95	607.9473684210526	0		0	0.4375	515.1428571428571	312.5	292.22916666666663	243.0625	1	32	96	571.9895833333334	93	579.4301075268817	0		0	0.46875	509.0	250.53125	321.45833333333337	281.0625	0	32	96	593.15625	94	595.1595744680851	0		0	0.46875	598.7333333333333	300.0		
18	1	64	192	670.187165775401	185	669.6540540540541	1	758.0	5	0.40625	527.6153846153846	309.640625	360.546540775401	281.953125	1	32	96	658.1789473684211	93	656.8602150537635	1	758.0	1	0.40625	498.61538461538464	284.375	373.80394736842106	306.0	1	32	96	682.5869565217391	92	682.5869565217391	0		4	0.40625	556.6153846153846	334.90625	347.6807065217391	261.4375	1	32	96	680.5591397849462	92	679.7173913043479	1	758.0	3	0.375	499.4166666666667	331.78125	348.7778897849462	267.59375	1	32	96	659.9255319148937	93	659.6989247311828	0		2	0.4375	551.7857142857143	287.5	372.42553191489367	300.5
19	1	64	192	660.937172774869	185	659.5567567567567	3	731.0	1	0.453125	559.7241379310345	320.5625	340.37467277486905	307.078125	1	32	96	675.8631578947368	92	672.054347826087	1	1013.0	1	0.4375	588.3571428571429	322.375	353.4881578947368	305.3125	1	32	96	646.1666666666666	93	647.1935483870968	2	590.0	0	0.46875	533.0	318.75	327.41666666666663	310.96875	1	32	96	642.5052631578948	93	643.6344086021505	2	590.0	1	0.46875	543.8666666666667	309.875	332.6302631578948	306.78125	1	32	96	679.1770833333334	92	675.6521739130435	1	1013.0	0	0.4375	576.7142857142857	331.25	347.92708333333337	307.75
20	1	64	192	693.6666666666666	67	749.2388059701492	7	933.8571428571429	5	0.578125	560.2608695652174	226.296875	385.7619485294117	487.125	0	32	96	699.3033707865169	20	758.1	5	943.8	1	0.5	761.6666666666666	231.75			1	32	96	687.0657894736842	47	745.468085106383	2	909.0	4	0.65625	430.7857142857143	220.84375	346.73233695652175	560.25	1	32	96	715.5824175824176	56	742.7142857142857	3	921.6666666666666	4	0.40625	699.5833333333334	325.0	382.804347826087	275.34375	1	32	96	666.7162162162163	11	782.4545454545455	4	943.0	1	0.75	408.27272727272725	127.59375	391.74309210526314	680.15625
