"column","variable","label","value_labels","class","type","n_na","range"
"1","id","ID","NULL","numeric","double","0","c(1, 124)"
"2","v1_date","start_date from qualtrics survey meta-data converted to format yyyy-mm-dd in R","NULL","Date","double","0","c(17606, 18970)"
"3","bmi_screenout","Child BMI Percentile Screen Out","c(`YES, child is overweight, screen out` = 1, `NO, child is normal weight, keep in study` = 0)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 1)"
"4","parent_respondent","Parent Reported: Parent relationship to child re-leveled in R to start with 0","c(Mother = 0, Father = 1, Other = 2)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 1)"
"5","parent_respondent_other","Parent Reported: Parent specify relationship to child if other","NULL","character","character","0","c("""", """")"
"6","hw_measured","Parent attending Visit 1 had measured height and weight","c(No = 0, Yes = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 1)"
"7","measured_parent","Parent with measured BMI at Visit 1","c(mom = 0, dad = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","3","c(0, 1)"
"8","risk_status_mom","Child risk categor: Low risk: Mom BMI < 26, High Risk: Mom BMI >= 29","c(`Low Risk` = 0, `High Risk` = 1, Neither = 2)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 1)"
"9","risk_status_both","Child risk category: Low Risk: Mom and Dad BMI < 25, High Risk: Mom BMI >=30 and Dad rounded BMI >= 25","c(`Low Risk` = 0, `High Risk` = 1, Neither = 2)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 2)"
"10","sex","Child Sex re-leveled in R to start with 0","c(Male = 0, Female = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 1)"
"11","dob","date of birth converted to format yyyy-mm-dd in R","NULL","Date","double","0","c(14333, 16266)"
"12","age_yr","Age in years calculated from dob and start_date","NULL","numeric","double","0","c(5.97, 9.94)"
"13","age_mo","Age in months calculated from dob and start_date","NULL","numeric","double","0","c(71.7, 119.2)"
"14","ethnicity","Parent Reported: Child ethnicity","c(`NOT Hispanic or Latino` = 0, `Hispanic or Latino` = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 0)"
"15","race","Parent Reported: Child race -- Note: prefer not to answer (pna) marked NA - see pna database for which were pna rather than missing NA re-leveled in R to start with 0 and set 'White/Caucasion' = 0","c(`White/Caucasian` = 0, `American Indian/Alaskan Native` = 1, Asian = 2, `Black/African American` = 3, `Hawaiian/Pacific Islander` = 4)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 2)"
"16","income","Parent Reported: Yearly household income -- Note: prefer not to answer (pna) marked NA - see pna database for which were pna rather than missing NA re-leveled in R to start with 0","c(`Less than $20,000` = 0, `$20,000 - $35,999` = 1, `$36,000 - $50,999` = 2, `$51,000 - $75,999` = 3, `$76,000 - $100,000` = 4, `More than $100,000` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","2","c(1, 5)"
"17","parent_ed","Parent Reported: Parent education re-leveled in R to start with 0","c(`High School or GED (12 years)` = 0, `Associate's Degree (14 years)` = 1, `Technical or Vocational School (14 years)` = 2, `Bachelor's Degree (16 years)` = 3, `Master's Degree (18 years)` = 4, `Ph.D. (20+ years)` = 5, `M.D. (20+ years)` = 6, `J.D. (20+ years)` = 7, Other = 8)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 5)"
"18","parent_ed_other","Parent Reported: Parent specify education if other","NULL","character","character","0","c("""", """")"
"19","partner_ed","Parent Reported: Partner education re-leveled in R to start with 0","c(`High School or GED (12 years)` = 0, `Associate's Degree (14 years)` = 1, `Technical or Vocational School (14 years)` = 2, `Bachelor's Degree (16 years)` = 3, `Master's Degree (18 years)` = 4, `Ph.D. (20+ years)` = 5, `M.D. (20+ years)` = 6, `J.D. (20+ years)` = 7, Other = 8)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","3","c(0, 8)"
"20","partner_ed_other","Parent Reported: Partner specify education if other","NULL","character","character","0","c("""", ""medical Assistant Degree"")"
"21","bmi","bmi calculated in R package using scripted average height and weight","NULL","numeric","double","0","c(13.52, 19.33)"
"22","bmi_percentile","BMI percentile updated: calculated using childsds R package and scripted average height and weight","NULL","numeric","double","0","c(3.91, 89.45)"
"23","bmi_z","BMI-z/sds calculated using childsds R package","NULL","numeric","double","0","c(-1.76, 1.25)"
"24","weight_status","Child weight status using CDC BMI percentile cutoffs","c(UW = -99, HW = 0, OW = 1, OB = 2)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(-99, 1)"
"25","dad_weight_status","Dad weight status using CDC cutoffs","c(UW = -99, HW = 0, OW = 1, `C1-OB` = 2, `C2-OB` = 3, `C3-Severe OB` = 4)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 4)"
"26","mom_weight_status","Mom weight status using CDC cutoffs","c(UW = -99, HW = 0, OW = 1, `C1-OB` = 2, `C2-OB` = 3, `C3-Severe OB` = 4)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","4","c(0, 4)"
"27","v5_date","start_date from qualtrics survey meta-data converted to format yyyy-mm-dd in R","NULL","Date","double","0","c(17626, 18997)"
"28","hrv_dur","Interoception:

	During the next task, we're going to see how fast your heart beats with this belt.  ( Show belt to participant).  It'll go lightly around your chest against your skin.  Can I put this belt on you now, or do you want your (mom/dad) to put it on?  (Wait for response). Okay, great! First I'm going to lightly wet the straps to improve the recording. 	Wet the black straps of the belt. Put belt around child’s chest, or have parent do it, making sure the black “POLAR Bluetooth” piece is in the center of the chest.  Strap should be snug against the chest and not falling down.  Check in with child and make sure they are comfortable and belt is not too tight.	The first thing we're going to do is record your heart beat while you relax and sit still for 5 minutes.  We want you to sit upright in the chair and stay quiet and calm the whole time. Can you do that for me? (Wait for response). Great, we'll start now, so you can get comfortable and relax.  I'll let you know when we're done.




	Set up w","NULL","character","character","0","c("""", ""6:03"")"
