"column","variable","label","value_labels","class","type","n_na","range"
"1","id","ID","NULL","numeric","double","0","c(1, 129)"
"2","v1_paq_m_travel_school_pna","Visit 1 - prefer not to answer marked for variable paq_m_travel_school: On Monday, how did your child travel to school?","c(`Did not skip due to prefer not to answer` = 0, `Prefer not to answer` = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 1)"
"3","v1_paq_m_traveltime_school_pna","Visit 1 - prefer not to answer marked for variable paq_m_traveltime_school: On Monday, how long did it take for your child to get from your home to school?","c(`Did not skip due to prefer not to answer` = 0, `Prefer not to answer` = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 1)"
"4","v1_paq_m_arriveschool_pna","Visit 1 - prefer not to answer marked for variable paq_m_arriveschool: On Monday, what time did your child arrive at school?","c(`Did not skip due to prefer not to answer` = 0, `Prefer not to answer` = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 1)"
"5","v1_paq_m_leaveschool_pna","Visit 1 - prefer not to answer marked for variable paq_m_leaveschool: On Monday, what time did your child leave school to go home?","c(`Did not skip due to prefer not to answer` = 0, `Prefer not to answer` = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 1)"
"6","v1_paq_m_travel_home_pna","Visit 1 - prefer not to answer marked for variable paq_m_travel_home: On Monday, how did your child travel from school back to home?","c(`Did not skip due to prefer not to answer` = 0, `Prefer not to answer` = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 1)"
"7","v1_paq_m_traveltime_home_pna","Visit 1 - prefer not to answer marked for variable paq_m_traveltime_home: On Monday, how long did it take for your child to travel from school back to home?","c(`Did not skip due to prefer not to answer` = 0, `Prefer not to answer` = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 1)"
"8","v1_paq_m_indoor_lowintensity_pna","Visit 1 - prefer not to answer marked for variable paq_m_indoor_lowintensity: On Monday, while indoors, how long in low-intensity PA?","c(`Did not skip due to prefer not to answer` = 0, `Prefer not to answer` = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 1)"
"9","v1_paq_t_travel_school_pna","Visit 1 - prefer not to answer marked for variable paq_t_travel_school: On Tuesday, how did your child travel from home to school?","c(`Did not skip due to prefer not to answer` = 0, `Prefer not to answer` = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 1)"
"10","v1_paq_t_traveltime_school_pna","Visit 1 - prefer not to answer marked for variable paq_t_traveltime_school: On Tuesday, how long did it take for your child to travel from home to school?","c(`Did not skip due to prefer not to answer` = 0, `Prefer not to answer` = 1)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 1)"
