"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
par_id,participant_overview,,text,"Participant ID",,,integer,,,,,,,,,," @CHARLIMIT=3 @DEFAULT='###'"
ch_dob,participant_overview,"Demographic Characteristics",text,"Date of Birth",,MM-D-YYYY,date_mdy,,,y,,,,,,,"date of birth"
sex,participant_overview,,radio,Sex,"0, Female | 1, Male",,,,,,,,,,,,"child sex"
ch_height1,participant_overview,,text,"Child Height - 1st Measurement",,"height in cm",number,,,,,,,,,,"child height first measurement"
ch_height2,participant_overview,,text,"Child Height - 2nd Measurement",,"height in cm",,,,,,,,,,,"child height second measurement"
ch_height_avg,participant_overview,,calc,"Child Height - Avg","([ch_height1] + [ch_height2])/2",,,,,,,,,,,,"average of child height measurements"
ch_weight1,participant_overview,,text,"Child Weight - 1st Measurement",,"weight in kg",number,,,,,,,,,,"child weight first measurement"
ch_weight2,participant_overview,,text,"Child Weight - 2nd Measurement",,"weight in kg",number,,,,,,,,,,"child weight second measurement"
ch_weight_avg,participant_overview,,calc,"Child Weight - Average","([ch_weight1] + [ch_weight2])/2",,,,,,,,,,,,"average child weight"
ch_bmi,participant_overview,,calc,"Child Body Mass Index","round([ch_weight_avg]/(([ch_height_avg]/100)*([ch_height_avg]/100)), 2)",,,,,,,,,,,,"child BMI"
ch_bmi_percentile,participant_overview,,text,"Child Body Mass Index Percentile",,,number,0,100,,,,,,,,"child BMI percentile"
v1_date,participant_overview,,text,"Visit 1 Date",,,date_mdy,,,,,,,,,,"visit 1 date"
v1_age,participant_overview,,calc,"Child Age at Visit 1","round(datediff([v1_date], [ch_dob], ""y""), 2)",,,,,,,,,,,,
v1_child_risk,participant_overview,,radio,"Child Risk Status","0, Low Risk | 1, High Risk | 2, Excluded",,,,,,,,,,,,"child risk status based on mom and dad obesity status"
v1_covid_protocol,participant_overview,,radio,"Visit 1 Used Protocol From:","0, Before COVID-19 | 1, After COVID-19",,,,,,,,,,,,"whether covid protocols were used during data collection"
v2_complete,participant_overview,,radio,"Visit 2 Completed","0, No | 1, Yes",,,,,,"[v1_child_risk]='0' or [v1_child_risk]='1'",,,,,,"visit 2 complete"
v2_date,participant_overview,,text,"Visit 2 Date",,,date_mdy,,,,[v2_complete]='1',,,,,,
v2_age,participant_overview,,calc,"Child Age at Visit 2","round(datediff([v2_date], [ch_dob], ""y""),2)",,,,,,[v2_complete]='1',,,,,,"child age at visit 2"
v2_covid_protocol,participant_overview,,radio,"Visit 2 Used Protocol From:","0, Before COVID-19 | 1, After COVID-19",,,,,,[v2_complete]='1',,,,,,"whether covid protocols were used during data collection at visit 2"
v3_complete,participant_overview,,radio,"Visit 3 Completed","0, No | 1, Yes",,,,,,"[v1_child_risk]='0' or [v1_child_risk]='1'",,,,,,"visit 3 complete"
v3_date,participant_overview,,text,"Visit 3 Date",,,date_mdy,,,,[v3_complete]='1',,,,,,"visit 3 date"
v3_age,participant_overview,,calc,"Child Age at Visit 3","round(datediff([v3_date], [ch_dob], ""y""),2)",,,,,,[v3_complete]='1',,,,,,"child age at visit 3"
v3_covid_protocol,participant_overview,,radio,"Visit 3 Used Protocol From:","0, Before COVID-19 | 1, After COVID-19",,,,,,[v3_complete]='1',,,,,,"whether covid protocols were used during data collection at visit 3"
v4_complete,participant_overview,,radio,"Visit 4 Completed","0, No | 1, Yes",,,,,,"[v1_child_risk]='0' or [v1_child_risk]='1'",,,,,,"visit 4 completed"
v4_date,participant_overview,,text,"Visit 4 Date",,,date_mdy,,,,[v4_complete]='1',,,,,,"visit 4 date"
v4_age,participant_overview,,calc,"Child Age at Visit 4","round(datediff([v4_date], [ch_dob], ""y""),2)",,,,,,[v4_complete]='1',,,,,,"child age at visit 4"
v4_covid_protocol,participant_overview,,radio,"Visit 4 Used Protocol From:","0, Before COVID-19 | 1, After COVID-19",,,,,,[v4_complete]='1',,,,,,"whether covid protocols were used during data collection at visit 4"
v5_complete,participant_overview,,radio,"Visit 5 Completed","0, No | 1, Yes",,,,,,"[v1_child_risk]='0' or [v1_child_risk]='1'",,,,,,"visit 5 complete"
v5_date,participant_overview,,text,"Visit 5 Date",,,date_mdy,,,,[v5_complete]='1',,,,,,"visit 5 date"
v5_age,participant_overview,,calc,"Child Age at Visit 5","round(datediff([v5_date], [ch_dob], ""y""),2)",,,,,,[v5_complete]='1',,,,,,"child age at visit 5"
v5_covid_protocol,participant_overview,,radio,"Visit 5 Used Protocol From:","0, Before COVID-19 | 1, After COVID-19",,,,,,[v5_complete]='1',,,,,,"whether covid protocols were used during data collection at visit 5"
v6_complete,participant_overview,,radio,"Visit 6 Completed","0, No | 1, Yes",,,,,,"[v1_child_risk]='0' or [v1_child_risk]='1'",,,,,,"visit 6 complete"
v6_date,participant_overview,,text,"Visit 6 Date",,,date_mdy,,,,[v6_complete]='1',,,,,,"visit 6 date"
v6_age,participant_overview,,calc,"Child Age at Visit 6","round(datediff([v6_date], [ch_dob], ""y""), 2)",,,,,,[v6_complete]='1',,,,,,"child age at visit 6"
v6_covid_protocol,participant_overview,,radio,"Visit 6 Used Protocol From:","0, Before COVID-19 | 1, After COVID-19",,,,,,[v6_complete]='1',,,,,,"whether covid protocols were used during data collection at visit 6"
v7_complete,participant_overview,,radio,"Visit 7 Completed","0, No | 1, Yes",,,,,,"[v1_child_risk]='0' or [v1_child_risk]='1'",,,,,,"visit 7 complete"
v7_date,participant_overview,,text,"Visit 7 Date",,,date_mdy,,,,[v7_complete]='1',,,,,,"visit 7 date"
v7_age,participant_overview,,calc,"Child Age at Visit 7","round(datediff([v7_date], [ch_dob], ""y""), 2)",,,,,,[v7_complete]='1',,,,,,"child age at visit 7"
v7_ch_height1,participant_overview,,text,"Visit 7 Child Height - 1st Measurement",,"height in cm",number,,,,[v7_complete]='1',,,,,,"follow-up visit 7 child height first measurement"
v7_ch_height2,participant_overview,,text,"Visit 7 Child Height - 2nd Measurement",,"height in cm",number,,,,[v7_complete]='1',,,,,,"follow-up visit 7 child height second measurement"
v7_ch_height_avg,participant_overview,,calc,"Visit 7 Child Height - Avg","([v7_ch_height1] + [v7_ch_height2])/2",,,,,,[v7_complete]='1',,,,,,"follow-up visit 7 average of child height measurements"
v7_ch_weight1,participant_overview,,text,"Visit 7 Child Weight - 1st Measurement",,"height in cm",number,,,,[v7_complete]='1',,,,,,"follow-up visit 7 child weight first measurement"
v7_ch_weight2,participant_overview,,text,"Visit 7 Child Weight - 2nd Measurement",,"height in cm",number,,,,[v7_complete]='1',,,,,,"follow-up visit 7 child weight second measurement"
v7_ch_weight_avg,participant_overview,,calc,"Visit 7 Child Weight - Avg","([v7_ch_weight1] + [v7_ch_weight2])/2",,,,,,[v7_complete]='1',,,,,,"follow-up visit 7 average of child height measurements"
v7_ch_bmi,participant_overview,,calc,"Visit 7 Child Body Mass Index","round([v7_ch_weight_avg]/(([v7_ch_height_avg]/100)*([v7_ch_height_avg]/100)), 2)",,,,,,[v7_complete]='1',,,,,,"follow-up visit 7 child BMI"
v7_ch_bmi_2,participant_overview,,text,"Visit 7 Child Body Mass Index Percentile",,,integer,0,100,,[v7_complete]='1',,,,,,"follow-up visit 7 child BMI percentile"
v7_covid_protocol,participant_overview,,radio,"Visit 7 Used Protocol From:","0, Before COVID-19 | 1, After COVID-19",,,,,,[v7_complete]='1',,,,,,"whether covid protocols were used during data collection at visit 7"
dexa_visit,dexa,,radio,"DEXA and height/weight completed at Visit:","0, Visit 1 | 1, Visit 7",,,,,,,y,,,,,
dexa_age,dexa,,calc,"Age at [intake_meal:checked] Meal","if([dexa_visit] = '0', [baseline_arm_1][v1_age], [baseline_arm_1][v7_age])",,,,,,,,,,,,
dexa_save,dexa,,yesno,"DEXA pdf saved to OneDrive?",,,,,,,,y,,,,,
dexa_entered,dexa,,yesno,"DEXA values entered into [dexa_visit:checked] Qualtrics database?",,,,,,,,y,,,,,
dexa_chw_entered,dexa,,yesno,"Child height and weight entered into [dexa_visit:checked] Child Qualtrics Database?",,,,,,,,y,,,,,
dexa_phw_entered,dexa,,yesno,"Parent height and weight entered into [dexa_visit:checked] Parent Qualtrics Database?",,,,,,,,y,,,,,
dexa_check_name,dexa,,text,"Data Check 1

Meal intake values checked by:",,,,,,,"[dexa_entered]='1' AND [dexa_chw_entered]='1' AND [dexa_phw_entered]='1'",y,,,,,
dexa_check_date,dexa,,text,Date:,,,date_mdy,,,,[dexa_check_name]<>'',y,,,,,
dexa_error,dexa,,yesno,"Were there errors in the [dexa_visit:checked] DEXA Qulatrics database?",,,,,,,[dexa_check_name]<>'',y,,,,,
dexa_error_cor,dexa,,yesno,"Errors for the [dexa_visit:checked] DEXA Qulatrics database were corrected?",,,,,,,[dexa_error]='1',y,,,,,
dexa_chw_error,dexa,,yesno,"Were there child height or weight errors in the [dexa_visit:checked] Child Qulatrics database?",,,,,,,[dexa_check_name]<>'',y,,,,,
dexa_chw_error_cor,dexa,,yesno,"Errors for child height and weight were corrected in [dexa_visit:checked] Child Qulatrics database?",,,,,,,[dexa_chw_error]='1',y,,,,,
dexa_phw_error,dexa,,yesno,"Were there parent height or weight errors in the [dexa_visit:checked] Parent Qulatrics database?",,,,,,,[dexa_check_name]<>'',y,,,,,
dexa_phw_error_cor,dexa,,yesno,"Errors for parent heights and weights were corrected in [dexa_visit:checked] Parent Qulatrics database?",,,,,,,[dexa_phw_error]='1',y,,,,,
dexa_error_notes,dexa,,notes,"DEXA and height/weight entry errors. Please list the intake values that were changed/updated.

**Once done, change status to incomplete so others know that these data need to be checked again.**",,,,,,,"[dexa_error]='1' OR [dexa_chw_error]='1' OR [dexa_phw_error]='1'",y,,,,,
dexa_unfinished_msg,dexa,,descriptive,"Must document all errors in text box and mark that all errors have been corrected before finishing!",,,,,,,"([dexa_error]='1' AND [dexa_error_cor]='0') OR ([dexa_chw_error]='1' AND [dexa_chw_error_cor]='0') OR ([dexa_phw_error]='1' AND [dexa_phw_error_cor]='0') OR ([dexa_error_notes]='' AND ([dexa_error]='1' OR [dexa_chw_error]='1' OR [dexa_phw_error]='1'))",y,,,,,
dexa_check_name2,dexa,,text,"Data Check 2

Meal intake values checked by:",,,,,,,"([dexa_error]='1' OR [dexa_chw_error]='1' OR [dexa_phw_error]='1') AND (([dexa_error]='1' AND [dexa_error_cor]<>'0') AND ([dexa_chw_error]='1' AND [dexa_chw_error_cor]<>'0') AND ([dexa_phw_error]='1' AND [dexa_phw_error_cor]<>'0') OR [dexa_error_notes]='')",y,,,,,
